Class,Field,Type,Description Rating,Has Example?
ExcelScript.BuiltInStyle,hlink,EnumField,Missing,false
ExcelScript.BuiltInStyle,hlinkTrav,EnumField,Missing,false
ExcelScript.BuiltInStyle,input,EnumField,Missing,false
ExcelScript.BuiltInStyle,linkedCell,EnumField,Missing,false
ExcelScript.BuiltInStyle,neutral,EnumField,Missing,false
ExcelScript.BuiltInStyle,normal,EnumField,Missing,false
ExcelScript.BuiltInStyle,note,EnumField,Missing,false
ExcelScript.BuiltInStyle,output,EnumField,Missing,false
ExcelScript.BuiltInStyle,percent,EnumField,Missing,false
ExcelScript.BuiltInStyle,sheetTitle,EnumField,Missing,false
ExcelScript.BuiltInStyle,total,EnumField,Missing,false
ExcelScript.BuiltInStyle,warningText,EnumField,Missing,false
ExcelScript.BuiltInStyle,wholeComma,EnumField,Missing,false
ExcelScript.BuiltInStyle,wholeDollar,EnumField,Missing,false
ExcelScript.CalculationMode,N/A,Class,Missing,false
ExcelScript.CalculationMode,automatic,EnumField,Fine,false
ExcelScript.CalculationMode,automaticExceptTables,EnumField,Fine,false
ExcelScript.CalculationMode,manual,EnumField,Fine,false
ExcelScript.CalculationState,N/A,Class,Fine,false
ExcelScript.CalculationState,calculating,EnumField,Poor,false
ExcelScript.CalculationState,done,EnumField,Poor,false
ExcelScript.CalculationState,pending,EnumField,Fine,false
ExcelScript.CalculationType,N/A,Class,Missing,false
ExcelScript.CalculationType,full,EnumField,Fine,false
ExcelScript.CalculationType,fullRebuild,EnumField,Fine,false
ExcelScript.CalculationType,recalculate,EnumField,Fine,false
ExcelScript.CellValueConditionalFormat,N/A,Class,Poor,false
ExcelScript.CellValueConditionalFormat,getFormat(),Method,Fine,false
ExcelScript.CellValueConditionalFormat,getRule(),Method,Poor,false
ExcelScript.CellValueConditionalFormat,setRule(rule),Method,Poor,false
ExcelScript.Chart,N/A,Class,Poor,false
ExcelScript.Chart,activate(),Method,Poor,false
ExcelScript.Chart,addChartSeries(name,Method,Good,false
ExcelScript.Chart,delete(),Method,Poor,false
ExcelScript.Chart,getAxes(),Method,Poor,false
ExcelScript.Chart,getCategoryLabelLevel(),Method,Fine,false
ExcelScript.Chart,getChartType(),Method,Good,false
ExcelScript.Chart,getDataLabels(),Method,Poor,false
ExcelScript.Chart,getDisplayBlanksAs(),Method,Fine,false
ExcelScript.Chart,getFormat(),Method,Poor,false
ExcelScript.Chart,getHeight(),Method,Poor,false
ExcelScript.Chart,getId(),Method,Poor,false
ExcelScript.Chart,getImage(width,Method,Good,false
ExcelScript.Chart,getLeft(),Method,Fine,false
ExcelScript.Chart,getLegend(),Method,Poor,false
ExcelScript.Chart,getName(),Method,Poor,false
ExcelScript.Chart,getPivotOptions(),Method,Poor,false
ExcelScript.Chart,getPlotArea(),Method,Poor,false
ExcelScript.Chart,getPlotBy(),Method,Fine,true
ExcelScript.Chart,getPlotVisibleOnly(),Method,Good,false
ExcelScript.Chart,getSeries(),Method,Fine,true
ExcelScript.Chart,getSeriesNameLevel(),Method,Fine,false
ExcelScript.Chart,getShowAllFieldButtons(),Method,Fine,false
ExcelScript.Chart,getShowDataLabelsOverMaximum(),Method,Good,false
ExcelScript.Chart,getStyle(),Method,Poor,false
ExcelScript.Chart,getTitle(),Method,Fine,false
ExcelScript.Chart,getTop(),Method,Fine,false
ExcelScript.Chart,getWidth(),Method,Poor,false
ExcelScript.Chart,getWorksheet(),Method,Poor,false
ExcelScript.Chart,setCategoryLabelLevel(categoryLabelLevel),Method,Fine,false
ExcelScript.Chart,setChartType(chartType),Method,Good,false
ExcelScript.Chart,setData(sourceData,Method,Poor,false
ExcelScript.Chart,setDisplayBlanksAs(displayBlanksAs),Method,Fine,false
ExcelScript.Chart,setHeight(height),Method,Poor,false
ExcelScript.Chart,setLeft(left),Method,Fine,false
ExcelScript.Chart,setName(name),Method,Poor,true
ExcelScript.Chart,setPlotBy(plotBy),Method,Fine,true
ExcelScript.Chart,setPlotVisibleOnly(plotVisibleOnly),Method,Good,false
ExcelScript.Chart,setPosition(startCell,Method,Poor,true
ExcelScript.Chart,setSeriesNameLevel(seriesNameLevel),Method,Fine,false
ExcelScript.Chart,setShowAllFieldButtons(showAllFieldButtons),Method,Fine,false
ExcelScript.Chart,setShowDataLabelsOverMaximum(showDataLabelsOverMaximum),Method,Good,false
ExcelScript.Chart,setStyle(style),Method,Poor,false
ExcelScript.Chart,setTop(top),Method,Fine,false
ExcelScript.Chart,setWidth(width),Method,Poor,false
ExcelScript.ChartAreaFormat,N/A,Class,Poor,false
ExcelScript.ChartAreaFormat,getBorder(),Method,Fine,false
ExcelScript.ChartAreaFormat,getColorScheme(),Method,Poor,false
ExcelScript.ChartAreaFormat,getFill(),Method,Fine,false
ExcelScript.ChartAreaFormat,getFont(),Method,Fine,false
ExcelScript.ChartAreaFormat,getRoundedCorners(),Method,Fine,false
ExcelScript.ChartAreaFormat,setColorScheme(colorScheme),Method,Poor,false
ExcelScript.ChartAreaFormat,setRoundedCorners(roundedCorners),Method,Fine,false
ExcelScript.ChartAxes,N/A,Class,Poor,false
ExcelScript.ChartAxes,getCategoryAxis(),Method,Poor,false
ExcelScript.ChartAxes,getChartAxis(type,Method,Poor,false
ExcelScript.ChartAxes,getSeriesAxis(),Method,Poor,false
ExcelScript.ChartAxes,getValueAxis(),Method,Poor,false
ExcelScript.ChartAxis,N/A,Class,Poor,false
ExcelScript.ChartAxis,getAlignment(),Method,Good,false
ExcelScript.ChartAxis,getAxisGroup(),Method,Good,false
ExcelScript.ChartAxis,getBaseTimeUnit(),Method,Poor,false
