Package,Class,Field,Type,Description Rating,Has Example?
ExcelScript,ExcelScript.BuiltInStyle,"total",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"warningText",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"wholeComma",EnumField,Missing,false
ExcelScript,ExcelScript.BuiltInStyle,"wholeDollar",EnumField,Missing,false
ExcelScript,ExcelScript.CalculationMode,N/A,Enum,Missing,true
ExcelScript,ExcelScript.CalculationMode,"automatic",EnumField,Excellent,false
ExcelScript,ExcelScript.CalculationMode,"automaticExceptTables",EnumField,Excellent,false
ExcelScript,ExcelScript.CalculationMode,"manual",EnumField,Great,false
ExcelScript,ExcelScript.CalculationState,N/A,Enum,Great,true
ExcelScript,ExcelScript.CalculationState,"calculating",EnumField,Good,false
ExcelScript,ExcelScript.CalculationState,"done",EnumField,Good,false
ExcelScript,ExcelScript.CalculationState,"pending",EnumField,Excellent,false
ExcelScript,ExcelScript.CalculationType,N/A,Enum,Missing,true
ExcelScript,ExcelScript.CalculationType,"full",EnumField,Great,false
ExcelScript,ExcelScript.CalculationType,"fullRebuild",EnumField,Excellent,false
ExcelScript,ExcelScript.CalculationType,"recalculate",EnumField,Excellent,false
ExcelScript,ExcelScript.CellControl,N/A,TypeAlias,Good,false
ExcelScript,ExcelScript.CellControlType,N/A,Enum,Good,false
ExcelScript,ExcelScript.CellControlType,"checkbox",EnumField,Good,false
ExcelScript,ExcelScript.CellControlType,"empty",EnumField,Good,false
ExcelScript,ExcelScript.CellControlType,"mixed",EnumField,Great,false
ExcelScript,ExcelScript.CellControlType,"unknown",EnumField,Excellent,false
ExcelScript,ExcelScript.CellValueConditionalFormat,N/A,Interface,Fine,true
ExcelScript,ExcelScript.CellValueConditionalFormat,"getFormat()",Method,Excellent,false
ExcelScript,ExcelScript.CellValueConditionalFormat,"getRule()",Method,Good,false
ExcelScript,ExcelScript.CellValueConditionalFormat,"setRule(rule)",Method,Good,false
ExcelScript,ExcelScript.Chart,N/A,Interface,Fine,false
ExcelScript,ExcelScript.Chart,"activate()",Method,Fine,false
ExcelScript,ExcelScript.Chart,"addChartSeries(name, index)",Method,Good,true
ExcelScript,ExcelScript.Chart,"delete()",Method,Poor,false
ExcelScript,ExcelScript.Chart,"getAxes()",Method,Poor,false
ExcelScript,ExcelScript.Chart,"getCategoryLabelLevel()",Method,Good,false
ExcelScript,ExcelScript.Chart,"getChartType()",Method,Fine,false
